entity:1kg_sub_sample_id	BAM_File_Path	BAM_File_Ref	BAM_INDEX_File_Ref	Sample
12c241df-d38d-4edc-8f4b-55864b349096	/bam_files/HG00380.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_2631aafe-6a8a-4990-a6b7-afd6e97763c7	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/12ff011c-6553-430f-accc-c3d9cf3c6207/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG00380.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam.bai	HG00380
12c3201c-b9be-48a4-a5c0-9f1b794a1e42	/bam_files/HG02014.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_5ef75ef3-8847-4052-9a91-8f53b5e08f88	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/c6079b48-95d9-430f-af69-e892e7be6270/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG02014.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam.bai	HG02014
12d599a9-2af7-4656-9438-a708ed5a6159	/bam_files/HG00684.mapped.ILLUMINA.bwa.CHS.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_150e3e3d-1098-48ff-b63e-52e84235fdd3	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/7649812e-d527-4269-a87b-dbfee8296771/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG00684.mapped.ILLUMINA.bwa.CHS.low_coverage.20120522.bam.bai	HG00684
12e4c6da-27c9-4883-82b8-373b0ddcd306	/bam_files/NA19067.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_f0add68a-f931-46c9-8b05-c882e44d5fb8	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/32028473-27fd-4d8f-8502-24a5de520ee3/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19067.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam.bai	NA19067
131934e3-1765-4850-90f6-aa37890ee0d6	/bam_files/HG00353.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_5f4450cb-2304-4b69-bfe3-6d888aff8581	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/ea500390-9434-47bb-95a7-5d950cb8937f/call-SamtoolsIndex/attempt-2/glob-6efbc60cb1e0959bab4e467327a9416c/HG00353.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam.bai	HG00353
13218ae9-b337-4e4b-aa42-4ed485674ec6	/bam_files/NA19023.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_b280e0ff-c6d6-4925-8f77-80d99e1349e6	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/627c51c1-7605-4681-98c0-9b15ff9cc2c1/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/NA19023.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam.bai	NA19023
133a2dff-5165-4119-8ca1-8e35a872082a	/bam_files/HG00473.mapped.ILLUMINA.bwa.CHS.low_coverage.20130415.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_08029901-c13a-474a-9325-b6b4dadfbea0	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/56cca476-c75f-4ea0-8300-50f0bd89325f/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG00473.mapped.ILLUMINA.bwa.CHS.low_coverage.20130415.bam.bai	HG00473
135470a3-9973-4d67-b6c5-fe6b0bfd6336	/bam_files/HG00620.mapped.ILLUMINA.bwa.CHS.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_4ef7bf36-9d24-40fc-a845-aa5b7534cbe9	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/09edc032-2cf5-4756-b31d-204c2209555e/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG00620.mapped.ILLUMINA.bwa.CHS.low_coverage.20120522.bam.bai	HG00620
135fd8cc-0b05-4eec-8459-9092a67d4f52	/bam_files/HG01509.mapped.ILLUMINA.bwa.IBS.low_coverage.20130422.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_04c4a17e-f3e8-47fb-aa94-5ce8f1045536	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/cb59b5bc-e33d-402c-82f3-7a89ca746a81/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG01509.mapped.ILLUMINA.bwa.IBS.low_coverage.20130422.bam.bai	HG01509
1371757e-b61c-45f3-bddc-b85744b1f670	/bam_files/HG00656.mapped.ILLUMINA.bwa.CHS.low_coverage.20120522.bam	drs://data.terra.bio/v1_c0dc283d-adad-4614-9f6c-1e101dd9b443_330dd245-e20c-4b3e-901a-eefe819b31ca	gs://fc-9db09784-fa15-41bb-80f3-28fbc05c715a/76515963-195a-40d9-9d52-89eed542c9a5/BuildBamIndexWithSamtools/0adb8aa4-07f2-48e8-8900-3a18dfb3694c/call-SamtoolsIndex/glob-6efbc60cb1e0959bab4e467327a9416c/HG00656.mapped.ILLUMINA.bwa.CHS.low_coverage.20120522.bam.bai	HG00656
